SPK11c	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
38.620275				1076.070000				1204.270000				1128.600000				1096.080000				1101.070000	243.074000
39.559250				1086.070000				1214.260000				1165.400000				1108.580000				1131.100000	255.589000
41.229025				1093.590000				1219.270000				1179.250000				1121.080000				1176.740000	258.090000
41.335200				1103.570000				1224.260000				1186.750000				1171.730000				1196.750000	260.592000
41.363200				1106.070000				1279.300000				1199.250000				1189.250000				1289.320000	263.093000
41.434600				1113.590000				1401.870000				1206.770000				1194.250000				1314.320000	265.588000
41.465650				1133.600000				1451.910000				1216.770000				1209.270000				1334.330000	268.089000
41.640625				1169.230000				1491.930000				1221.770000				1211.760000				1404.380000	270.591000
42.340950				1174.230000				1534.440000				1329.330000				1316.830000				1406.880000	273.092000
42.421100				1181.750000				1539.440000				1394.380000				1441.890000				1414.370000	275.608000
42.508475				1319.310000				1556.960000				1396.860000				1459.410000				1424.370000	283.105000
44.415425				1331.830000				1559.460000				1409.380000				1479.430000				1429.390000	285.606000
45.470650				1399.380000				1569.460000				1411.880000				1486.920000				1436.900000	293.104000
46.258750				1421.890000				1599.470000				1419.380000				1541.940000				1439.400000	295.605000
46.947625				1426.880000				1616.990000				1444.390000				1544.440000				1449.400000	300.608000
47.209700				1434.390000				1647.000000				1469.410000				1561.950000				1466.910000	305.604000
47.826275				1446.890000				1659.520000				1484.420000				1566.960000				1531.940000	308.106000
47.855900				1454.410000				1707.050000				1494.430000				1581.970000				1564.460000	310.621000
47.885125				1456.910000				1722.060000				1521.940000				1584.470000				1576.970000	323.122000
47.919300				1471.910000				1774.590000				1546.960000				1591.990000				1589.470000	325.623000
49.075625				1474.410000				1782.080000				1551.960000				1609.490000				1601.990000	393.170000
49.532275				1476.910000				1802.100000				1596.990000				1639.510000				1624.510000	395.671000
49.872350				1481.930000				1812.100000				1604.490000				1654.520000				1627.010000	400.667000
50.118600				1489.430000				1859.630000				1614.490000				1662.020000				1632.000000	408.172000
50.722125				1524.440000				1864.630000				1664.520000				1669.520000				1642.000000	410.666000
50.732750				1526.940000				1882.150000				1702.040000				1672.020000				1644.500000	418.184000
51.038825				1579.470000				1909.670000				1709.530000				1679.520000				1652.010000	420.686000
51.469825				1586.980000				1914.660000				1734.570000				1689.540000				1657.020000	425.689000
51.517500				1594.470000				1919.680000				1799.600000				1692.040000				1667.020000	428.183000
51.536700				1611.990000				1949.680000				1857.140000				1697.030000				1727.050000	430.685000
51.597375				1621.990000				1964.700000				1884.650000				1772.090000				1737.070000	433.186000
51.645850				1634.500000				1967.190000				1889.650000				1777.090000				1769.580000	448.202000
51.669000				1649.510000				2002.210000				1894.660000				1794.600000				1779.580000	453.205000
51.763375				1684.530000				2034.750000				1907.160000				1817.100000				1797.100000	460.703000
51.765075				1717.050000				2067.260000				1924.680000				1842.130000				1827.120000	463.204000
52.576175				1724.550000				2104.770000				1944.680000				1849.630000				1852.130000	465.698000
52.578900				1744.570000				2107.280000				1947.180000				1862.130000				1879.650000	468.200000
54.410200				1752.070000				2122.290000				1969.690000				1867.150000				1927.180000	470.701000
55.107625				1767.080000								1972.200000				1887.150000				1942.180000	475.718000
55.535650				1792.080000								1977.210000				1897.140000				1952.180000	478.220000
56.408825				1854.630000								1999.710000				1899.670000				1997.210000	488.219000
